timestamp,brightness_sum,brightness_mean,red_sum,green_sum,blue_sum,red_mean,green_mean,blue_mean
2026-05-21 00:00:00,32043.375,24.275283813476562,29008.0,30764.0,53654.0,21.975757598876953,23.306060791015625,40.646968841552734
2026-05-21 00:10:00,53733.94921875,40.70753860473633,43270.0,53638.0,85497.0,32.780303955078125,40.634849548339844,64.77045440673828
2026-05-21 00:20:00,47500.97265625,35.9855842590332,31952.0,47634.0,91968.0,24.2060604095459,36.08636474609375,69.6727294921875
2026-05-21 00:30:00,58762.88671875,44.517337799072266,36058.0,59991.0,113453.0,27.316667556762695,45.44772720336914,85.9492416381836
2026-05-21 00:40:00,93006.984375,70.4598388671875,62806.0,95418.0,158055.0,47.58030319213867,72.28636169433594,119.73863983154297
2026-05-21 00:50:00,75841.3828125,57.45559310913086,39543.0,79177.0,149686.0,29.956817626953125,59.982574462890625,113.39848327636719
2026-05-21 01:00:00,73414.3984375,55.61697006225586,33358.0,77021.0,155639.0,25.271211624145508,58.3492431640625,117.90833282470703
2026-05-21 01:10:00,83163.1953125,63.00242233276367,41164.0,86535.0,173435.0,31.18484878540039,65.55681610107422,131.39015197753906
2026-05-21 01:20:00,80743.390625,61.16923522949219,40920.0,82579.0,179825.0,31.0,62.55984878540039,136.23106384277344
2026-05-21 01:30:00,43482.03515625,32.94093704223633,5403.0,44479.0,145735.0,4.093181610107422,33.69621276855469,110.40530395507812
2026-05-21 01:40:00,79974.0234375,60.58638000488281,45541.0,79928.0,181821.0,34.50075912475586,60.551513671875,137.74317932128906
2026-05-21 01:50:00,84343.546875,63.89662551879883,51826.0,83984.0,183656.0,39.262123107910156,63.62424087524414,139.13333129882812
2026-05-21 02:00:00,85979.875,65.13626861572266,55865.0,85195.0,182435.0,42.32196807861328,64.54166412353516,138.2083282470703
2026-05-21 02:10:00,85862.8984375,65.04765319824219,56232.0,85031.0,181359.0,42.599998474121094,64.41742706298828,137.3931884765625
2026-05-21 02:20:00,85334.5703125,64.64739990234375,56722.0,83846.0,184333.0,42.97121047973633,63.51969528198242,139.64620971679688
