Timestamp,Brightness-Sum,Brightness-Mean,Red-Sum,Red-Mean,Blue-Sum,Blue-Mean,Green-Sum,Green-Mean,Adjacent-Distance-Sum,Adjacent-Distance-Mean
2026-05-21 00:00:00,121633.02,84.46738,146692.0,101.869446,83153.0,57.74514,118068.0,81.99167,49579.56269836426,34.430251873864066
2026-05-21 00:10:00,72074.805,50.05195,96544.0,67.04444,41240.0,28.63889,67914.0,47.1625,19765.247566223145,13.72586636543274
2026-05-21 00:20:00,75323.164,52.307755,97799.0,67.91597,48260.0,33.51389,71374.0,49.565277,25537.159370422363,17.734138451682195
2026-05-21 00:30:00,100122.09,69.52923,121842.0,84.6125,76225.0,52.93403,96078.0,66.72083,13475.467880249023,9.357963805728488
2026-05-21 00:40:00,92641.45,64.33434,111665.0,77.545135,74708.0,51.880554,88797.0,61.664585,14591.589807510376,10.133048477437761
2026-05-21 00:50:00,85243.34,59.196766,103407.0,71.81042,78160.0,54.27778,80559.0,55.94375,27107.500400543213,18.824653055932785
2026-05-21 01:00:00,59336.785,41.2061,71829.0,49.88125,61759.0,42.888195,55379.0,38.457638,19959.569388389587,13.860812075270546
2026-05-21 01:10:00,45833.125,31.82856,49680.0,34.5,58165.0,40.39236,43445.0,30.17014,24681.348531723022,17.139825369252097
2026-05-21 01:20:00,68595.02,47.635433,64517.0,44.80347,91618.0,63.62361,67483.0,46.863194,16248.270351409912,11.283521077367995
2026-05-21 01:30:00,62218.797,43.207497,52868.0,36.71389,98754.0,68.57917,61310.0,42.57639,18244.185148239136,12.66957301961051
2026-05-21 01:40:00,73881.04,51.30628,56834.0,39.468056,121427.0,84.3243,74149.0,51.492363,39369.16721343994,27.339699453777737
2026-05-21 01:50:00,105310.33,73.13217,79971.0,55.535416,164209.0,114.03403,106897.0,74.234024,24183.119985580444,16.793833323319753
2026-05-21 02:00:00,85899.805,59.65264,53485.0,37.14236,154660.0,107.40278,88594.0,61.523613,15224.572144508362,10.572619544797474
2026-05-21 02:10:00,79298.41,55.068336,42030.0,29.1875,157831.0,109.60486,82449.0,57.25625,13611.743951320648,9.452599966194894
2026-05-21 02:20:00,86201.72,59.862305,46069.0,31.992361,174043.0,120.8632,89264.0,61.988888,6112.479315519333,4.244777302443981
